name,datasets,bidirectional_lstm,lstm_dropout,mlp_dropout,lr,step_size,gamma,weight_decay,hidden_dim,num_layers,batch_size,frame_frequency,num_epoch,num_workers,concatenate,train_loss,test_loss,train_acc,test_acc,top5_test_acc,best_epoch,Time
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,0.04,0.01,99.91,87.6,98.7,19,2024-12-05_11-33-36
DINO_features,"['deephand_left', 'dino_left_large', 'heatmap']",False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,16,2,20,4,True,0.01,0.03,99.8,87.31,98.61,18,2024-12-05_19-14-39
DINO_features,"['deephand_left', 'dino_left_large', 'heatmap']",True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,16,2,20,4,True,0.02,0.03,99.67,87.38,98.39,15,2024-12-05_18-08-45
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,32,2,20,4,True,0.03,0.01,99.76,86.56,98.39,18,2024-12-02_21-08-08
DINO_features,"['deephand_left', 'dino_left_large', 'heatmap']",True,0.1,0.1,0.0001,5,0.5,0.01,512,2,16,2,20,2,True,0.04,0.03,99.65,86.67,98.3,16,2024-12-03_14-27-07
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,0.06,0.01,99.8,85.43,98.19,15,2024-12-05_11-25-07
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small', 'heatmap']",True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,16,2,20,4,True,0.02,0.03,99.73,86.45,98.17,15,2024-12-05_13-41-04
DINO_features,"['deephand_left', 'dino_left_large']",False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,0.07,0.01,99.32,86.21,98.08,11,2024-12-05_11-12-14
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,32,2,20,4,True,0.02,0.02,99.67,86.6,98.05,17,2024-12-02_19-09-57
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,1024,2,64,2,20,4,True,0.03,0.01,99.76,86.67,98.03,19,2024-12-05_11-05-46
DINO_features,"['deephand_left', 'dino_left_large']",True,0.1,0.1,0.0001,5,0.5,0.01,1024,3,32,2,20,4,True,0.03,0.02,99.51,84.84,98.03,17,2024-12-02_18-54-10
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small', 'heatmap']",False,0.1,0.1,0.0001,5,0.5,0.01,1024,2,16,2,20,4,True,0.05,0.03,99.04,86.07,97.97,12,2024-12-05_14-50-49
DINO_features,"['deephand_left', 'dino_left_large', 'heatmap']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,16,2,20,2,True,0.03,0.03,99.56,84.68,97.88,19,2024-12-03_12-46-25
DINO_features,"['deephand_left', 'dino_left_large', 'dino_face_small', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,2,32,2,20,4,True,0.11,0.02,99.43,84.42,97.86,19,2024-12-02_22-53-01
DINO_features,"['deephand_left', 'dino_left_large', 'dino_right_small']",False,0.1,0.1,0.0001,5,0.5,0.01,512,3,32,2,20,4,True,0.1,0.02,99.14,84.55,97.83,18,2024-12-02_11-37-17
DINO_features,"['deephand_left', 'dino_left_large', 'dino_right_small']",True,0.1,0.1,0.0001,5,0.5,0.01,512,3,64,2,20,4,True,0.15,0.01,99.3,84.35,97.79,19,2024-12-02_10-53-17
DINO_features,"['deephand_left', 'dino_left_large', 'dino_right_small']",False,0.1,0.1,0.0001,5,0.5,0.01,512,3,128,2,20,4,True,0.41,0.01,97.16,83.62,97.79,17,2024-12-02_11-24-26
